"Name","Race","Race_percentage"
"Glennstone","White",21.32963989
"Golden Belt","Asian",0
"Golden Belt","Black",48.2428115
"Golden Belt","Hispanic",14.05750799
"Golden Belt","White",37.69968051
"Grande Park","Asian",1.085141903
"Grande Park","Black",9.18196995
"Grande Park","Hispanic",0.667779633
"Grande Park","White",76.79465776
"Grant Street","Asian",0.399178276500001
"Grant Street","Black",68.7835453327796
"Grant Street","Hispanic",18.6386179461431
"Grant Street","White",11.5057874066447
"Green Mill","Asian",0
"Green Mill","Black",56.99588477
"Green Mill","Hispanic",4.218106996
"Green Mill","White",38.78600823
"Grove Park","Asian",1.41703100605615
"Grove Park","Black",43.2798729704377
"Grove Park","Hispanic",9.85620388376469
"Grove Park","White",44.1134077989926
"Heather Glen","Asian",0
"Heather Glen","Black",24.79240807
"Heather Glen","Hispanic",13.04863582
"Heather Glen","White",60.26097272
"Holston Meadows","Asian",6.607142857
"Holston Meadows","Black",48.48214286
"Holston Meadows","Hispanic",13.125
"Holston Meadows","White",25.625
"Hope Valley","Asian",2.17558731062195
"Hope Valley","Black",9.10568737906283
"Hope Valley","Hispanic",2.50249473247092
"Hope Valley","White",82.4301297477673
"Hope Valley Downs","Asian",0
"Hope Valley Downs","Black",27.3787255255758
"Hope Valley Downs","Hispanic",26.4648246146667
"Hope Valley Downs","White",44.5114282148485
"Hope Valley Farms","Asian",2.57410884855009
"Hope Valley Farms","Black",34.7884958914873
"Hope Valley Farms","Hispanic",3.44105165579796
"Hope Valley Farms","White",52.5227048929711
"Hope Valley Farms North","Asian",13.5934621281946
"Hope Valley Farms North","Black",21.8202711224814
"Hope Valley Farms North","Hispanic",7.0662842848885
"Hope Valley Farms North","White",53.5670247799292
"Hope Valley Forest","Asian",0
"Hope Valley Forest","Black",27.13833157
"Hope Valley Forest","Hispanic",1.16156283
"Hope Valley Forest","White",70.64413939
"Hope Valley Green","Asian",5.82010582
"Hope Valley Green","Black",23.28042328
"Hope Valley Green","Hispanic",6.084656085
"Hope Valley Green","White",54.4973545
"Hope Valley North","Asian",0
"Hope Valley North","Black",56.99588477
"Hope Valley North","Hispanic",4.218106996
"Hope Valley North","White",38.78600823
"Horton Hills","Asian",6.607142857
"Horton Hills","Black",48.48214286
"Horton Hills","Hispanic",13.125
"Horton Hills","White",25.625
"Huckleberry Heights","Asian",0
"Huckleberry Heights","Black",9.520594193
"Huckleberry Heights","Hispanic",6.144496962
"Huckleberry Heights","White",84.06482107
"Huntington Ridge","Asian",20.94517958
"Huntington Ridge","Black",7.069943289
"Huntington Ridge","Hispanic",1.890359168
"Huntington Ridge","White",65.86011342
"Inverness Drive","Asian",0
"Inverness Drive","Black",24.7437595830137
"Inverness Drive","Hispanic",16.3408873446575
"Inverness Drive","White",57.0412769391781
"Knollwood","Asian",0
"Knollwood","Black",41.46505376
"Knollwood","Hispanic",27.62096774
"Knollwood","White",30.91397849
"Lake Park","Asian",8.47587255769663
"Lake Park","Black",19.3891259330337
"Lake Park","Hispanic",2.14532296701124
"Lake Park","White",64.1136892780899
"Lakehurst","Asian",7.1098622516277
"Lakehurst","Black",38.9676183153247
"Lakehurst","Hispanic",1.29192574038961
"Lakehurst","White",47.9604976807792
"Lakewood Park","Asian",5.84842826933884
"Lakewood Park","Black",30.8648974871074
"Lakewood Park","Hispanic",12.6754725459917
"Lakewood Park","White",41.3272317907438
"Landon Farms","Asian",0
"Landon Farms","Black",37.0135890085185
"Landon Farms","Hispanic",33.9843653178633
"Landon Farms","White",21.4402207636866
"Latta Woods","Asian",0
"Latta Woods","Black",33.20407174
"Latta Woods","Hispanic",1.793504605
"Latta Woods","White",58.84634028
"Lattamoor","Asian",0
"Lattamoor","Black",1.925254813
"Lattamoor","Hispanic",32.27633069
"Lattamoor","White",61.49490374
"Lochaven Hills","Asian",0
"Lochaven Hills","Black",33.20407174
"Lochaven Hills","Hispanic",1.793504605
"Lochaven Hills","White",58.84634028
"Lochn'ora","Asian",10.9975326
"Lochn'ora","Black",12.19598167
"Lochn'ora","Hispanic",0
"Lochn'ora","White",70.46175538
"Lochside","Asian",2.37013639601504
"Lochside","Black",59.2429714142857
"Lochside","Hispanic",9.73732084530827
"Lochside","White",17.3273168770677
"Long Meadow","Asian",7.051282051
"Long Meadow","Black",11.05769231
"Long Meadow","Hispanic",0.608974359
"Long Meadow","White",68.46153846
"Lyon Park","Asian",7.107540173
"Lyon Park","Black",57.23114957
"Lyon Park","Hispanic",20.08652658
"Lyon Park","White",14.15327565
"Marbry Landing","Asian",0
"Marbry Landing","Black",70.43879908
"Marbry Landing","Hispanic",5.157813703
"Marbry Landing","White",24.24942263
"Mary Dell","Asian",5.809698079
"Mary Dell","Black",22.64409881
"Mary Dell","Hispanic",0
"Mary Dell","White",70.3568161
"Meadows of Pagehurst","Asian",0
"Meadows of Pagehurst","Black",44.66279589
"Meadows of Pagehurst","Hispanic",6.208128629
"Meadows of Pagehurst","White",39.88387673
"Merrick Moore","Asian",0
"Merrick Moore","Black",37.1299651692079
"Merrick Moore","Hispanic",38.6835971568317
"Merrick Moore","White",20.0626361991089
"Milan Woods","Asian",0
"Milan Woods","Black",43.16877153
"Milan Woods","Hispanic",22.96211251
"Milan Woods","White",29.04707233
"Morehead Hill","Asian",3.06798790279321
"Morehead Hill","Black",23.6674327716049
"Morehead Hill","Hispanic",6.32035732003395
"Morehead Hill","White",64.427485151142
"Myers Park/Beechgrove","Asian",2.490421456
"Myers Park/Beechgrove","Black",15.90038314
"Myers Park/Beechgrove","Hispanic",2.011494253
"Myers Park/Beechgrove","White",62.2605364
"Nancy Rhodes Creek","Asian",0.826310333132949
"Nancy Rhodes Creek","Black",7.96242670592485
"Nancy Rhodes Creek","Hispanic",5.37615047913295
"Nancy Rhodes Creek","White",83.8771669789017
"Newhall Village","Asian",0.72815534
"Newhall Village","Black",17.31391586
"Newhall Village","Hispanic",3.478964401
"Newhall Village","White",71.60194175
"North Durham Community","Asian",1.085141903
"North Durham Community","Black",9.18196995
"North Durham Community","Hispanic",0.667779633
"North Durham Community","White",76.79465776
"Northeast Hills","Asian",0
"Northeast Hills","Black",27.5414766383842
"Northeast Hills","Hispanic",48.7589303460671
"Northeast Hills","White",21.0003562024085
"Northgate Park","Asian",2.16226837839125
"Northgate Park","Black",9.69804785612367
"Northgate Park","Hispanic",7.95845340045522
"Northgate Park","White",76.3251200656183
"Oak Grove Community","Asian",3.94548777798931
"Oak Grove Community","Black",39.382537410107
"Oak Grove Community","Hispanic",8.44504567881283
"Oak Grove Community","White",46.2117235884492
"Oakhaven","Asian",9.922113105
"Oakhaven","Black",19.77649848
