"NAME","RELATED_NAME"
"Brightleaf at the Park","R850H - BRIGHTLEAF AT THE PARK"
"Everwood","R709I - EVERWOOD"
"Nancy Rhodes Creek","R803D - GREY LEE DR."
"Colony Park","R800B - COUNTY LINE N. DUR/CH&11B"
"Southampton","R717H - SOUTHAMPTON"
"Fairfield","R727D - LYONS FARM/THE OAKS/GRAND"
"Ashton Hall","R850B - ASHTON HALL"
"Belcrest","R729H - BELCREST"
"The Hills at Southpoint","R717D - THE HILLS AT SOUTHPOINT"
"Arrowhead","R801H - CERAMORE"
"Oakhurst","R727B - FAIRFIELD/KINGSLEY ESTATE"
"Oak Grove Community","R850I - BRIGHTWOOD TRIALS"
"Brightleaf at the Park","R850D - BRIGHT LEAF AT PARK P3"
"Orchard Ridge","R850C - ORCHARD RIDGE"
"Hope Valley Farms North","R729C - CHAMBERLYNNE"
"Carolina Arbors","R769C - ARBORS"
"Ravenstone","R850I - BRIGHTWOOD TRIALS"
"Lake Park","R727D - LYONS FARM/THE OAKS/GRAND"
"Oakhaven","R717J - RESIDENTIAL"
"Eastwood Park","R708R - CHAPEL RUN"
"Nancy Rhodes Creek","R813H - VALLEY SPRINGS"
"Huckleberry Heights","R813H - VALLEY SPRINGS"
"Bragtown","R833I - MAGNOLIA CREEK"
"Bragtown","T833B - THE VILLAGE TOWNS"
"Colony Park","R800F - CANTERBURY"
"Garret Farms - Porchlight / Hartley","R800G - CRESSET OVERLOOK"
"Ravenstone","T860A - DOGWOOD POINTE"
"Colvard Farms","R717L - COLVARD FARMS PHASE 10"
"Emorywood Estates","R830I - TOWNES AT COURTNEY CREEK"
"Croasdaile Farm","R813L"
"Landon Farms","R842T - HOMES STARTING IN THE 380S --- KB HOMES BUILDER"
"Colvard Farms","R707U - 751 SOUTH FUTURE USE"
"R822D - WALL TOWN","Walltown"
"R822C - TRINITY HEIGHTS","Walltown"
"R822C - TRINITY HEIGHTS","Trinity Heights"
"R822D - WALL TOWN","Trinity Park"
"R822A - TRINITY PARK","Trinity Park"
"R822E - OLD W DURHAM","Watts Hospital-Hillandale"
"R822F - WATTS HILLANDALE","Watts Hospital-Hillandale"
"R822E - OLD W DURHAM","Old West Durham"
"R822G - BROAD ACRES","Walltown"
"R822G - BROAD ACRES","Watts Hospital-Hillandale"
"R811A - DUKE UNIV HOMESITES SEC6","Duke Forest"
"R822H - WARREN PARK","Watts Hospital-Hillandale"
"R822C - TRINITY HEIGHTS","Trinity Park"
"R832B - DUKE PARK","Duke Park"
"R821E - W CHAPEL HILL RD","Burch Avenue"
"R821E - W CHAPEL HILL RD","Brookstown"
"R811H - ANDERSON ST 2","Anderson St. / Wrightwood Park"
"R811F - CHAPEL HILL RD","Anderson St. / Wrightwood Park"
"R811G - ANDERSON ST","Anderson St. / Wrightwood Park"
"R811F - CHAPEL HILL RD","Tuscaloosa-Lakewood"
"R811F - CHAPEL HILL RD","Lakewood Park"
"R812A - CREST ST","Crest Street"
"R832C - OLD N DURHAM","Old North Durham"
"R832G - NORTH AND GEER","Old North Durham"
"R822B - TYLER CT","Trinity Park"
"R822K - CLUB AND WASHINGTON","Northgate Park"
"R822J - HACKNEY","Walltown"
"R822I - I-85 & BROAD NE","West Murray / Broad"
"R822I - I-85 & BROAD NE","Northgate Park"
"R832E - NE ROXBORO & I-85","Northgate Park"
"R822A - TRINITY PARK","Northgate Park"
"R810K - MARTIN LUTHER KG/HOPE VAL","Rockwood"
"R810K - MARTIN LUTHER KG/HOPE VAL","Preston Woods"
"R820A - ARCHDALE AND ROXBORO","Rockwood"
"R820F - PRESIDENTIAL","College View / NCCU"
"R820A - ARCHDALE AND ROXBORO","Forest Hills"
"R820A - ARCHDALE AND ROXBORO","Parkside"
"R820H - FOREST HILLS","Parkside"
"R820E - PARKSIDE","Parkside"
